JobCode,CostFamilyL2Code,CostFamilyL2Description,documentDate,pbsCode,pbsDescription,revisedQuantity,RevisedRate,workDoneQuantity,ActualRate,ACWP
$#18JCDE,2095,Piling,2018-11-30 00:00:00.000,6081-2095-001,Piling,23212.88,2197,11272.26,2442,27526858.92
$#18JCDE,2095,Piling,2019-02-28 00:00:00.000,6081-2095-001,Piling,23212.88,2256,11272.26,2534,28563906.84
$#18JCDE,2095,Piling,2019-04-30 00:00:00.000,6081-2095-001,Piling,25932.88,2020,11272.26,3746,36758839.86
$#18JCDE,2095,Piling,2019-06-30 00:00:00.000,6081-2095-001,Piling,25932.88,1682,11272.26,2776,31316686.67
$#18JCDE,2095,Piling,2020-08-31 00:00:00.000,6081-2095-001,Piling,25932.88,1682,11272.26,2776,31665187.37
$#18JCDE,2095,Piling,2020-10-31 00:00:00.000,6081-2095-001,Piling,25932.88,1682,11272.26,2776,31714973.19
$#18JCDE,2095,Piling,2020-12-31 00:00:00.000,6081-2095-001,Piling,25932.88,1682,11272.26,2776,31764759
$#18JCDE,2095,Piling,2021-03-31 00:00:00.000,6081-2095-001,Piling,25932.88,1682,11272.26,2776,31839437.72
$#18JCDE,2095,Piling,2021-05-31 00:00:00.000,6081-2095-001,Piling,25932.88,1766,11272.26,2829,31889223.54
$#18JCDE,2100,Reinforcement Steel Work,2020-03-31 00:00:00.000,6064-2100-001,Reinforcement Steel Work,11410.84,46096,1665.14,52490,87536964.85
$#18JCDE,2100,Reinforcement Steel Work,2020-05-31 00:00:00.000,6064-2100-001,Reinforcement Steel Work,11410.84,46131,1665.14,52731,87804497.34
$#18JCDE,2100,Reinforcement Steel Work,2020-07-31 00:00:00.000,6064-2100-001,Reinforcement Steel Work,11410.84,46134,1665.14,52751,87837800.14
