JobCode,CostFamilyL2Code,CostFamilyL2Description,documentDate,pbsCode,pbsDescription,revisedQuantity,RevisedRate,workDoneQuantity,ActualRate,ACWP
$#18JCDE,2060,Concreting,2019-08-31 00:00:00.000,6062-2060-002,Concreting,3104.04,4962,2941.19,4671,13738298.49
$#18JCDE,2060,Concreting,2019-10-31 00:00:00.000,6062-2060-002,Concreting,3104.04,4962,2941.19,4671,13738298.49
$#18JCDE,2060,Concreting,2019-12-31 00:00:00.000,6062-2060-002,Concreting,3104.04,4962,2941.19,4671,13738298.49
$#18JCDE,2110,Formwork,2020-05-31 00:00:00.000,6063-2110-002,L&T Formwork,58394.9,438,50705.16,328,16631292.48
$#18JCDE,2110,Formwork,2020-07-31 00:00:00.000,6063-2110-002,L&T Formwork,58394.9,438,50705.16,331,16783407.96
$#18JCDE,2180,Flooring & Cladding,2021-02-28 00:00:00.000,6066-2180-001,Flooring & Cladding,127227.1,755,11054.2,565,6245623
$#18JCDE,2100,Reinforcement Steel Work,2018-09-30 00:00:00.000,6064-2100-001,Reinforcement Steel Work,1642.19,47077,543,51633,28036719
$#18JCDE,2100,Reinforcement Steel Work,2018-11-30 00:00:00.000,6064-2100-001,Reinforcement Steel Work,1642.19,47077,891,51259,45671769
$#18JCDE,2100,Reinforcement Steel Work,2019-02-28 00:00:00.000,6064-2100-001,Reinforcement Steel Work,1642.19,47077,1584.2,47210,74790082
$#18JCDE,2100,Reinforcement Steel Work,2019-04-30 00:00:00.000,6064-2100-001,Reinforcement Steel Work,1642.19,47077,1631.2,47119,76860512.8
$#18JCDE,2045,Waterproofing,2019-01-31 00:00:00.000,6066-2045-001,Waterproofing,30626.26,480,2739,478,1309242
$#18JCDE,2191,Painting,2020-05-31 00:00:00.000,6066-2191-001,Painting,430436,135,2750,408,1122000
$#18JCDE,2191,Painting,2020-07-31 00:00:00.000,6066-2191-001,Painting,430436,135,2750,408,1122000
$#18JCDE,2191,Painting,2021-02-28 00:00:00.000,6066-2191-001,Painting,430436,135,2750,216,594000
$#18JCDE,2191,Painting,2021-06-30 00:00:00.000,6066-2191-001,Painting,430436,135,2750,216,594000
$#18JCDE,2110,Formwork,2020-03-31 00:00:00.000,6063-2110-003,System Formwork (aluminium),883810.09,420,87228.47,565,49284085.55
$#18JCDE,2110,Formwork,2020-05-31 00:00:00.000,6063-2110-003,System Formwork (aluminium),883810.09,419,101655.22,538,54690508.36
$#18JCDE,2110,Formwork,2020-07-31 00:00:00.000,6063-2110-003,System Formwork (aluminium),883810.09,421,121914.22,525,64004965.5
$#18JCDE,2110,Formwork,2020-09-30 00:00:00.000,6063-2110-003,System Formwork (aluminium),883810.09,424,114047.89,620,70709691.8
$#18JCDE,2110,Formwork,2020-11-30 00:00:00.000,6063-2110-003,System Formwork (aluminium),883810.09,426,157047.89,530,83235381.7
$#18JCDE,2110,Formwork,2021-02-28 00:00:00.000,6063-2110-003,System Formwork (aluminium),883810.09,426,206801.89,499,103194143.11
$#18JCDE,2110,Formwork,2020-05-31 00:00:00.000,6063-2110-002,L&T Formwork,1908.7,494,729,1170,852930
$#18JCDE,2060,Concreting,2019-03-31 00:00:00.000,6062-2060-005,Precast Concreting,19973.43,5197,1490.12,6246,9307289.52
$#19JCDE,2010,Earthwork,2021-08-31 00:00:00.000,6061-2010-006,Backfilling,1010814.24,124,209678.32,219,45919552.08
$#19JCDE,2010,Earthwork,2021-10-31 00:00:00.000,6061-2010-006,Backfilling,1010814.24,124,253556.02,226,57303660.52
$#17JCDE,2045,Waterproofing,2019-05-31 00:00:00.000,6066-2045-001,Waterproofing,197853,557,4228,228,963984
$#17JCDE,2045,Waterproofing,2021-01-31 00:00:00.000,6066-2045-001,Waterproofing,197853,557,54223.71,566,30690619.86
$#17JCDE,2045,Waterproofing,2021-08-31 00:00:00.000,6066-2045-001,Waterproofing,197853,595,96437.61,549,52944247.89
$#17JCDE,2045,Waterproofing,2021-10-31 00:00:00.000,6066-2045-001,Waterproofing,197853,595,111336.61,569,63350531.09
$#18JCDE,2060,Concreting,2019-03-31 00:00:00.000,6062-2060-002,Concreting,75507,3918,848.85,3617,3070290.45
$#18JCDE,2060,Concreting,2019-05-31 00:00:00.000,6062-2060-002,Concreting,75507,3918,3334.17,3794,12649840.98
$#18JCDE,2060,Concreting,2019-07-31 00:00:00.000,6062-2060-002,Concreting,75507,3918,3545.47,4068,14422971.96
$#18JCDE,2060,Concreting,2019-09-30 00:00:00.000,6062-2060-002,Concreting,75507,3918,3545.47,4181,14823610.07
$#18JCDE,2110,Formwork,2019-04-30 00:00:00.000,6063-2110-002,L&T Formwork,183702.72,438,1256.49,437,549086.13
$#18JCDE,2110,Formwork,2019-06-30 00:00:00.000,6063-2110-002,L&T Formwork,183702.72,438,6634.3,438,2905823.4
$#18JCDE,2110,Formwork,2020-01-31 00:00:00.000,6063-2110-002,L&T Formwork,183702.72,438,6659.17,520,3462768.4
$#18JCDE,2110,Formwork,2020-02-29 00:00:00.000,6063-2110-002,L&T Formwork,183702.72,438,6659.17,528,3516041.76
$#18JCDE,2045,Waterproofing,2019-05-31 00:00:00.000,6066-2045-001,Waterproofing,30626.26,480,5051,478,2414378
$#18JCDE,2190,Plastering,2019-02-28 00:00:00.000,6066-2190-001,Plastering,7851,261,3352.68,257,861638.76
$#17JCDE,2045,Waterproofing,2020-01-31 00:00:00.000,6066-2045-001,Waterproofing,197853,557,17139.71,349,5981758.79
$#18JCDE,2060,Concreting,2019-07-31 00:00:00.000,6062-2060-002,Concreting,3104.04,4921,2941.19,4632,13623592.08
$#18JCDE,2060,Concreting,2019-09-30 00:00:00.000,6062-2060-002,Concreting,3104.04,4962,2941.19,4671,13738298.49
$#18JCDE,2060,Concreting,2019-11-30 00:00:00.000,6062-2060-002,Concreting,3104.04,4962,2941.19,4671,13738298.49
$#18JCDE,2180,Flooring & Cladding,2020-08-31 00:00:00.000,6066-2180-001,Flooring & Cladding,127227.1,755,11054.2,627,6930983.4
$#18JCDE,2100,Reinforcement Steel Work,2019-01-31 00:00:00.000,6064-2100-001,Reinforcement Steel Work,1642.19,47077,1218,48355,58896390
$#18JCDE,2100,Reinforcement Steel Work,2019-08-31 00:00:00.000,6064-2100-001,Reinforcement Steel Work,1642.19,47077,1631.2,47085,76805052
$#18JCDE,2045,Waterproofing,2018-11-30 00:00:00.000,6066-2045-001,Waterproofing,30626.26,480,440,482,212080
$#18JCDE,2045,Waterproofing,2019-02-28 00:00:00.000,6066-2045-001,Waterproofing,30626.26,480,2739,91,249249
$#18JCDE,2045,Waterproofing,2019-04-30 00:00:00.000,6066-2045-001,Waterproofing,30626.26,480,5051,585,2954835
$#18JCDE,2060,Concreting,2019-02-28 00:00:00.000,6062-2060-002,Concreting,75507,3918,24.85,3394,84340.9
$#18JCDE,2060,Concreting,2019-04-30 00:00:00.000,6062-2060-002,Concreting,75507,3918,2447.45,3770,9226886.5
$#18JCDE,2060,Concreting,2019-06-30 00:00:00.000,6062-2060-002,Concreting,75507,3918,3545.47,3803,13483422.41
$#18JCDE,2060,Concreting,2020-01-31 00:00:00.000,6062-2060-002,Concreting,75507,3918,3545.47,4260,15103702.2
$#17JCDE,2060,Concreting,2021-12-31 00:00:00.000,6062-2060-002,Concreting,360597,4359,303922,4092,1243648824
$#17JCDE,2060,Concreting,2022-03-31 00:00:00.000,6062-2060-002,Concreting,360597,4334,314063,4427,1390356901
$#17JCDE,2060,Concreting,2022-05-31 00:00:00.000,6062-2060-002,Concreting,360597,4334,321174,4463,1433399562
$#17JCDE,2060,Concreting,2022-07-31 00:00:00.000,6062-2060-002,Concreting,360597,4333,324674,4488,1457136912
$#17JCDE,2060,Concreting,2022-09-30 00:00:00.000,6062-2060-002,Concreting,360597,4333,324674,4502,1463193276
$#17JCDE,2060,Concreting,2022-11-30 00:00:00.000,6062-2060-002,Concreting,360597,4334,333214,4421,1473139094
$#17JCDE,2060,Concreting,2023-02-28 00:00:00.000,6062-2060-002,Concreting,360597,4334,334064,4445,1484914480
$#17JCDE,2060,Concreting,2023-04-30 00:00:00.000,6062-2060-002,Concreting,360597,4314,334064,4484,1497942976
$#17JCDE,2060,Concreting,2023-06-30 00:00:00.000,6062-2060-002,Concreting,360597,4354,334064,4592,1534021888
$#17JCDE,2110,Formwork,2018-11-30 00:00:00.000,6063-2110-002,L&T Formwork,475991,598,26598,818,21757164
$#17JCDE,2110,Formwork,2019-02-28 00:00:00.000,6063-2110-002,L&T Formwork,475991,598,92120,590,54350800
$#18JCDE,2191,Painting,2020-03-31 00:00:00.000,6066-2191-001,Painting,344389.29,154,11212.02,256,2870277.12
$#18JCDE,2191,Painting,2020-05-31 00:00:00.000,6066-2191-001,Painting,344389.29,154,11212.02,259,2903913.18
$#18JCDE,2191,Painting,2020-07-31 00:00:00.000,6066-2191-001,Painting,344389.29,154,11212.02,261,2926337.22
$#18JCDE,2110,Formwork,2020-06-30 00:00:00.000,6063-2110-002,L&T Formwork,38488.91,445,24677,463,11425451
$#18JCDE,2270,Handrails,2019-09-30 00:00:00.000,6067-2270-001,Handrails,2678.04,1094,39,2718,106002
$#18JCDE,2270,Handrails,2019-11-30 00:00:00.000,6067-2270-001,Handrails,2678.04,1109,39,1692,65988
$#18JCDE,2100,Reinforcement Steel Work,2018-08-31 00:00:00.000,6064-2100-001,Reinforcement Steel Work,2671.19,46410,85.4,93679,8000186.6
$#18JCDE,2060,Concreting,2018-08-31 00:00:00.000,6062-2060-002,Concreting,47823.41,3814,1975.1,6367,12575461.7
$#18JCDE,2195,"Doors, Windows, Ventilators, Rolling Shutters",2020-06-30 00:00:00.000,6067-2195-001,"Doors, Windows, Ventilators, Rolling Shutters",6862,6568,1271,9766,12412586
$#18JCDE,2195,"Doors, Windows, Ventilators, Rolling Shutters",2021-01-31 00:00:00.000,6067-2195-001,"Doors, Windows, Ventilators, Rolling Shutters",6862,6726,1271,12147,15438837
$#18JCDE,2010,Earthwork,2021-02-28 00:00:00.000,6061-2010-001,Excavation (in all types of soils),59606,144,28040.39,209,5860441.51
$#18JCDE,2110,Formwork,2019-01-31 00:00:00.000,6063-2110-003,System Formwork (aluminium),508877.38,364,81109.71,448,36337150.08
$#18JCDE,2110,Formwork,2019-08-31 00:00:00.000,6063-2110-003,System Formwork (aluminium),508877.38,364,233296.76,405,94485187.8
$#18JCDE,2110,Formwork,2019-10-31 00:00:00.000,6063-2110-003,System Formwork (aluminium),508877.38,364,243298.76,414,100725686.64
$#18JCDE,2110,Formwork,2019-12-31 00:00:00.000,6063-2110-003,System Formwork (aluminium),508877.38,364,243298.76,432,105105064.32
$#18JCDE,2110,Formwork,2020-08-31 00:00:00.000,6063-2110-003,System Formwork (aluminium),508877.38,364,243298.76,452,109971039.52
$#18JCDE,2110,Formwork,2018-12-31 00:00:00.000,6063-2110-001,Conventional Formwork,81007.45,461,164,0,0
$#18JCDE,2170,Masonry,2023-08-31 00:00:00.000,6066-2170-001,Masonry (measured in m3),5000,307,619,1194,739086
$#18JCDE,2170,Masonry,2023-10-31 00:00:00.000,6066-2170-001,Masonry (measured in m3),5000,307,619,1194,739086
$#18JCDE,2110,Formwork,2019-08-31 00:00:00.000,6063-2110-001,Conventional Formwork,226552.35,692,23407,591,13833537
$#18JCDE,2110,Formwork,2019-10-31 00:00:00.000,6063-2110-001,Conventional Formwork,226552.35,700,28407,871,24742497
$#17JCDE,2140,Structural Steel Work,2022-04-30 00:00:00.000,6065-2140-001,Structural Steel Work,190,78848,12.6,488978,6161122.8
$#18JCDE,2190,Plastering,2020-08-31 00:00:00.000,6066-2190-001,Plastering,2138,163,914,278,254092
